Beta,Lambda,Resulting_Density
2.0,0.1,0.01806640625
2.0,0.2,0.01800537109375
2.0,0.30000000000000004,0.01800537109375
2.0,0.4,0.017852783203125
2.0,0.5,0.017852783203125
2.0,0.6,0.017852783203125
2.0,0.7000000000000001,0.01788330078125
2.0,0.8,0.017791748046875
2.0,0.9,0.0179443359375
2.0,1.0,0.01788330078125
2.3333333333333335,0.1,0.01806640625
2.3333333333333335,0.2,0.01800537109375
2.3333333333333335,0.30000000000000004,0.01800537109375
2.3333333333333335,0.4,0.017852783203125
2.3333333333333335,0.5,0.017852783203125
2.3333333333333335,0.6,0.017852783203125
2.3333333333333335,0.7000000000000001,0.017852783203125
2.3333333333333335,0.8,0.01788330078125
2.3333333333333335,0.9,0.017791748046875
2.3333333333333335,1.0,0.0179443359375
2.6666666666666665,0.1,0.01806640625
2.6666666666666665,0.2,0.01800537109375
2.6666666666666665,0.30000000000000004,0.01800537109375
2.6666666666666665,0.4,0.017913818359375
2.6666666666666665,0.5,0.017852783203125
2.6666666666666665,0.6,0.017852783203125
2.6666666666666665,0.7000000000000001,0.017852783203125
2.6666666666666665,0.8,0.017852783203125
2.6666666666666665,0.9,0.01788330078125
2.6666666666666665,1.0,0.017791748046875
3.0,0.1,0.01806640625
3.0,0.2,0.01800537109375
3.0,0.30000000000000004,0.01800537109375
3.0,0.4,0.017913818359375
3.0,0.5,0.017913818359375
3.0,0.6,0.017852783203125
3.0,0.7000000000000001,0.017852783203125
3.0,0.8,0.017852783203125
3.0,0.9,0.017852783203125
3.0,1.0,0.017852783203125
3.333333333333333,0.1,0.01806640625
3.333333333333333,0.2,0.01800537109375
3.333333333333333,0.30000000000000004,0.01800537109375
3.333333333333333,0.4,0.017913818359375
3.333333333333333,0.5,0.017913818359375
3.333333333333333,0.6,0.017852783203125
3.333333333333333,0.7000000000000001,0.017852783203125
3.333333333333333,0.8,0.017852783203125
3.333333333333333,0.9,0.017852783203125
3.333333333333333,1.0,0.017852783203125
3.6666666666666665,0.1,0.01806640625
3.6666666666666665,0.2,0.01800537109375
3.6666666666666665,0.30000000000000004,0.01800537109375
3.6666666666666665,0.4,0.017913818359375
3.6666666666666665,0.5,0.017913818359375
3.6666666666666665,0.6,0.017913818359375
3.6666666666666665,0.7000000000000001,0.017852783203125
3.6666666666666665,0.8,0.017852783203125
3.6666666666666665,0.9,0.017852783203125
3.6666666666666665,1.0,0.017852783203125
4.0,0.1,0.01806640625
4.0,0.2,0.01800537109375
4.0,0.30000000000000004,0.01800537109375
4.0,0.4,0.017913818359375
4.0,0.5,0.017913818359375
4.0,0.6,0.017913818359375
4.0,0.7000000000000001,0.017852783203125
4.0,0.8,0.017852783203125
4.0,0.9,0.017852783203125
4.0,1.0,0.017852783203125
4.333333333333333,0.1,0.01806640625
4.333333333333333,0.2,0.01800537109375
4.333333333333333,0.30000000000000004,0.01800537109375
4.333333333333333,0.4,0.017913818359375
4.333333333333333,0.5,0.017913818359375
4.333333333333333,0.6,0.017913818359375
4.333333333333333,0.7000000000000001,0.017913818359375
4.333333333333333,0.8,0.017852783203125
4.333333333333333,0.9,0.017852783203125
4.333333333333333,1.0,0.017852783203125
4.666666666666666,0.1,0.01806640625
4.666666666666666,0.2,0.01800537109375
4.666666666666666,0.30000000000000004,0.01800537109375
4.666666666666666,0.4,0.017913818359375
4.666666666666666,0.5,0.017913818359375
4.666666666666666,0.6,0.017913818359375
4.666666666666666,0.7000000000000001,0.017913818359375
4.666666666666666,0.8,0.017852783203125
4.666666666666666,0.9,0.017852783203125
4.666666666666666,1.0,0.017852783203125
5.0,0.1,0.01806640625
5.0,0.2,0.01800537109375
5.0,0.30000000000000004,0.01800537109375
5.0,0.4,0.017913818359375
5.0,0.5,0.017913818359375
5.0,0.6,0.017913818359375
5.0,0.7000000000000001,0.017913818359375
5.0,0.8,0.017913818359375
5.0,0.9,0.017852783203125
5.0,1.0,0.017852783203125
